Date,Name,City,State,Registration
7/10 - 7/11,The 31st Annual Loodvitational,Online,HI,Closed
7/10,2021 Delta Debate Academy Session 1 Summer Camp Tournament,Online,US,Closed
7/7 - 7/9,2021 NSD Camp Tournament,Online,MN,No open registration
7/10 - 7/11,UDS Summer Online Invitational,Asgard,CN,No open registration
7/8 - 7/9,VBI PHL ONLINE,Online,PA,No open registration
7/6 - 7/9,ISD Session One Tournament,Online,NC,No open registration
7/10 - 7/11,IBA Affirmative Action,Johns Creek,GA,Closed
7/8 - 7/10,CNDI 2021 Camp Tournament,Online,CA,Closed
7/8 - 7/10,MGCDI21,Frisco,TX,Closed
7/5 - 7/9,Georgetown Debate Seminar 3 Week Tournament,NSDA Campus,US,Closed
7/10 - 7/11,Ivy Bridge Academy JV Varsity Championship,Suwanee,GA,Due by 7/11 11:00 PM EDT
7/7 - 7/9,Three Week JDI,Online,US,No open registration
7/8 - 7/9,Magnolia Round Robin,Online,TX,No open registration
7/7 - 7/9,SDI 2 Week Tournament 2021,Online,MI,No open registration
7/17,Parli Debate Tournament 5,Online,IN,Due by 7/15 5:00 PM EDT
7/15 - 7/19,Debate Asia,Johns Creek,GA,Due by 7/15 5:00 PM EDT
7/12,SDI 4 Week Mini Tournament 2021,Online,MI,No open registration
7/15 - 7/17,Harvard Debate Council Summer Workshops Public Forum Tournament,Online,MA,No open registration
7/16,NYCUDL Summer Institute Tournament,Online,NY,No open registration
7/12 - 7/13,UDS Summer Shanghai Tournament,Shanghai,CN,No open registration
7/13,VDI Camp Tourney,Online,NV,Due by 7/13 9:00 PM EDT
7/23 - 7/24,The 2nd Annual Quarantine Classic,Online,US,Due by 7/23 8:00 PM CDT
7/24,2021 GCDS National Finals,Simi Valley,CA,No open registration
7/21 - 7/25,Gonzaga Debate Institute Tournament 2021,Online,WA,Due by 7/24 5:00 PM PDT
7/24 - 7/27,Congress for Charity,Online,US,No open registration
7/31,Summer Social Media Bonus Rounds,NSDA Campus,DC,Due by 7/31 8:00 PM EDT
7/31 - 8/1,CrowdPrep Summer Special Tournament,Online,US,Due by 7/30 8:00 PM EDT
7/30 - 8/1,Lincoln Douglas Practice Group Tournament 2,Online,US,Due by 7/30 12:45 PM EDT
8/7 - 8/8,The CTD Invitational,NSDA Campus,CA,Due by 8/6 11:59 PM PDT
8/7,YG Online Congress and Speech Tournament,NSDA Classroom,CA,Due by 8/2 5:00 PM PDT
8/7 - 8/8,1AC CESSIBILITY Exhibition Tournament For Inclusion,NSDA Campus,US,Due by 7/30 8:00 PM EDT
8/13 - 8/15,Debate for Aid Inaugural Tournament,Online,FL,Due by 8/7 5:00 PM EDT
8/27 - 8/28,Ezy Learning Abode Services Charity Fundraiser Invitational,Online,CA,Due by 8/24 12:00 PM PDT
8/28,Pre Season New Topic Slam,NSDA Campus,DC,Due by 8/28 8:00 PM EDT
